%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581281230374073736,3480,1581281230373395681,magnetic_field,-0.1753,-0.028,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230399083125,3481,1581281230398373603,magnetic_field,-0.1753,-0.0291,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230424118889,3482,1581281230423436641,magnetic_field,-0.1749,-0.028,0.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230449164879,3483,1581281230448388099,magnetic_field,-0.1757,-0.0276,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230474172130,3484,1581281230473395347,magnetic_field,-0.1761,-0.0291,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230499252510,3485,1581281230498337745,magnetic_field,-0.1757,-0.0287,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230524094128,3486,1581281230523342847,magnetic_field,-0.1753,-0.0284,0.3458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230549210677,3487,1581281230548330545,magnetic_field,-0.1746,-0.0277,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230575474286,3488,1581281230573369503,magnetic_field,-0.1753,-0.0269,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230599141723,3489,1581281230598297357,magnetic_field,-0.176,-0.0283,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230624048666,3490,1581281230623309373,magnetic_field,-0.1757,-0.0276,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230649282138,3491,1581281230648249387,magnetic_field,-0.1757,-0.0295,0.3458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230673969922,3492,1581281230673209667,magnetic_field,-0.1753,-0.0269,0.3458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230698946207,3493,1581281230698159694,magnetic_field,-0.1747,-0.0299,0.3447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230723932137,3494,1581281230723219156,magnetic_field,-0.1753,-0.0276,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230749003114,3495,1581281230748188734,magnetic_field,-0.1753,-0.0273,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230773987029,3496,1581281230773156642,magnetic_field,-0.1746,-0.0281,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230798857072,3497,1581281230798148155,magnetic_field,-0.175,-0.0299,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230824066168,3498,1581281230823187351,magnetic_field,-0.175,-0.0291,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230848904289,3499,1581281230848134517,magnetic_field,-0.176,-0.0291,0.3437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230873815720,3500,1581281230873136281,magnetic_field,-0.1753,-0.0291,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230898719753,3501,1581281230898124217,magnetic_field,-0.1743,-0.0295,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230923938548,3502,1581281230923080205,magnetic_field,-0.1753,-0.0288,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230949011414,3503,1581281230948087453,magnetic_field,-0.1753,-0.0288,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230974781695,3504,1581281230973784208,magnetic_field,-0.175,-0.0288,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230998849902,3505,1581281230998007059,magnetic_field,-0.1746,-0.0292,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231024615702,3506,1581281231023731470,magnetic_field,-0.1757,-0.028,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231048761417,3507,1581281231047988414,magnetic_field,-0.1753,-0.028,0.3433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231074513926,3508,1581281231073666572,magnetic_field,-0.1757,-0.0287,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231099129912,3509,1581281231097885370,magnetic_field,-0.1749,-0.0254,0.3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231124462084,3510,1581281231123609304,magnetic_field,-0.1756,-0.0273,0.3441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231149028804,3511,1581281231147949218,magnetic_field,-0.175,-0.0291,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231174674410,3512,1581281231173672199,magnetic_field,-0.175,-0.0295,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231198938713,3513,1581281231198070764,magnetic_field,-0.1749,-0.0254,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231224539727,3514,1581281231223683834,magnetic_field,-0.175,-0.0288,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231249453352,3515,1581281231248588562,magnetic_field,-0.1753,-0.0276,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231274320439,3516,1581281231273553371,magnetic_field,-0.1754,-0.0299,0.3459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281231299265134,3517,1581281231298468351,magnetic_field,-0.175,-0.0295,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
